name,date,cases
Norfolk,2020-03-21,0
North Branford,2020-03-21,0
North Canaan,2020-03-21,0
North Haven,2020-03-21,0
North Stonington,2020-03-21,0
Norwalk,2020-03-21,11
Norwich,2020-03-21,0
Old Lyme,2020-03-21,0
Old Saybrook,2020-03-21,0
Orange,2020-03-21,0
Oxford,2020-03-21,1
Plainfield,2020-03-21,0
Plainville,2020-03-21,1
Plymouth,2020-03-21,0
Pomfret,2020-03-21,0
Portland,2020-03-21,1
Preston,2020-03-21,0
Prospect,2020-03-21,0
Putnam,2020-03-21,0
Redding,2020-03-21,0
Ridgefield,2020-03-21,6
Rocky Hill,2020-03-21,5
Roxbury,2020-03-21,0
Salem,2020-03-21,0
Salisbury,2020-03-21,0
Scotland,2020-03-21,0
Seymour,2020-03-21,0
Sharon,2020-03-21,0
Shelton,2020-03-21,2
Sherman,2020-03-21,0
Simsbury,2020-03-21,0
Somers,2020-03-21,0
South Windsor,2020-03-21,1
Southbury,2020-03-21,2
Southington,2020-03-21,3
Sprague,2020-03-21,0
Stafford,2020-03-21,3
Stamford,2020-03-21,19
Sterling,2020-03-21,0
Stonington,2020-03-21,0
Stratford,2020-03-21,2
Suffield,2020-03-21,2
Thomaston,2020-03-21,2
Thompson,2020-03-21,0
Tolland,2020-03-21,1
Torrington,2020-03-21,1
Trumbull,2020-03-21,0
Union,2020-03-21,0
Vernon,2020-03-21,0
Voluntown,2020-03-21,0
Wallingford,2020-03-21,0
Warren,2020-03-21,0
Washington,2020-03-21,0
Waterbury,2020-03-21,2
Waterford,2020-03-21,0
Watertown,2020-03-21,0
West Hartford,2020-03-21,1
West Haven,2020-03-21,6
Westbrook,2020-03-21,0
Weston,2020-03-21,1
Westport,2020-03-21,41
Wethersfield,2020-03-21,1
Willington,2020-03-21,0
Wilton,2020-03-21,4
Winchester,2020-03-21,0
Windham,2020-03-21,0
Windsor,2020-03-21,1
Windsor Locks,2020-03-21,2
Wolcott,2020-03-21,0
Woodbridge,2020-03-21,0
Woodbury,2020-03-21,1
Woodstock,2020-03-21,1
Andover,2020-03-22,0
Ansonia,2020-03-22,1
Ashford,2020-03-22,0
Avon,2020-03-22,1
Barkhamsted,2020-03-22,0
Beacon Falls,2020-03-22,1
Berlin,2020-03-22,2
Bethany,2020-03-22,0
Bethel,2020-03-22,2
Bethlehem,2020-03-22,3
Bloomfield,2020-03-22,0
Bolton,2020-03-22,1
Bozrah,2020-03-22,0
Branford,2020-03-22,0
Bridgeport,2020-03-22,9
Bridgewater,2020-03-22,0
Bristol,2020-03-22,0
Brookfield,2020-03-22,6
Brooklyn,2020-03-22,0
Burlington,2020-03-22,1
Canaan,2020-03-22,0
Canterbury,2020-03-22,0
Canton,2020-03-22,0
Chaplin,2020-03-22,0
Cheshire,2020-03-22,0
Chester,2020-03-22,0
Clinton,2020-03-22,1
Colchester,2020-03-22,0
Colebrook,2020-03-22,0
Columbia,2020-03-22,0
Cornwall,2020-03-22,0
Coventry,2020-03-22,0
Cromwell,2020-03-22,0
Danbury,2020-03-22,8
Darien,2020-03-22,8
Deep River,2020-03-22,0
Derby,2020-03-22,0
Durham,2020-03-22,0
East Granby,2020-03-22,0
East Haddam,2020-03-22,0
East Hampton,2020-03-22,1
East Hartford,2020-03-22,1
East Haven,2020-03-22,0
East Lyme,2020-03-22,1
East Windsor,2020-03-22,0
Eastford,2020-03-22,0
Easton,2020-03-22,1
Ellington,2020-03-22,0
Enfield,2020-03-22,1
Essex,2020-03-22,0
Fairfield,2020-03-22,7
Farmington,2020-03-22,2
Franklin,2020-03-22,0
Glastonbury,2020-03-22,4
Goshen,2020-03-22,0
Granby,2020-03-22,0
Greenwich,2020-03-22,31
Griswold,2020-03-22,0
Groton,2020-03-22,0
Guilford,2020-03-22,2
Haddam,2020-03-22,1
Hamden,2020-03-22,1
Hampton,2020-03-22,0
Hartford,2020-03-22,11
Hartland,2020-03-22,0
Harwinton,2020-03-22,0
Hebron,2020-03-22,0
Kent,2020-03-22,0
Killingly,2020-03-22,0
Killingworth,2020-03-22,1
Lebanon,2020-03-22,0
Ledyard,2020-03-22,0
Lisbon,2020-03-22,0
Litchfield,2020-03-22,2
Lyme,2020-03-22,0
Madison,2020-03-22,1
Manchester,2020-03-22,4
Mansfield,2020-03-22,1
Marlborough,2020-03-22,0
Meriden,2020-03-22,1
Middlebury,2020-03-22,0
Middlefield,2020-03-22,0
Middletown,2020-03-22,1
Milford,2020-03-22,2
Monroe,2020-03-22,0
Montville,2020-03-22,1
Morris,2020-03-22,0
Naugatuck,2020-03-22,0
New Britain,2020-03-22,2
New Canaan,2020-03-22,5
New Fairfield,2020-03-22,3
New Hartford,2020-03-22,0
New Haven,2020-03-22,7
New London,2020-03-22,0
New Milford,2020-03-22,2
Newington,2020-03-22,4
Newtown,2020-03-22,1
Norfolk,2020-03-22,0
North Branford,2020-03-22,0
North Canaan,2020-03-22,0
North Haven,2020-03-22,0
North Stonington,2020-03-22,0
Norwalk,2020-03-22,17
Norwich,2020-03-22,1
Old Lyme,2020-03-22,0
Old Saybrook,2020-03-22,0
Orange,2020-03-22,0
Oxford,2020-03-22,1
Plainfield,2020-03-22,0
Plainville,2020-03-22,1
Plymouth,2020-03-22,0
Pomfret,2020-03-22,0
Portland,2020-03-22,1
Preston,2020-03-22,0
Prospect,2020-03-22,0
Putnam,2020-03-22,0
Redding,2020-03-22,0
Ridgefield,2020-03-22,9
Rocky Hill,2020-03-22,7
Roxbury,2020-03-22,0
Salem,2020-03-22,0
Salisbury,2020-03-22,0
Scotland,2020-03-22,0
Seymour,2020-03-22,0
Sharon,2020-03-22,1
Shelton,2020-03-22,1
Sherman,2020-03-22,0
Simsbury,2020-03-22,0
Somers,2020-03-22,0
South Windsor,2020-03-22,2
Southbury,2020-03-22,2
Southington,2020-03-22,3
Sprague,2020-03-22,0
Stafford,2020-03-22,7
Stamford,2020-03-22,25
Sterling,2020-03-22,0
Stonington,2020-03-22,0
Stratford,2020-03-22,3
Suffield,2020-03-22,2
Thomaston,2020-03-22,2
Thompson,2020-03-22,0
Tolland,2020-03-22,4
Torrington,2020-03-22,1
Trumbull,2020-03-22,0
Union,2020-03-22,0
Vernon,2020-03-22,1
Voluntown,2020-03-22,0
Wallingford,2020-03-22,0
Warren,2020-03-22,0
Washington,2020-03-22,0
Waterbury,2020-03-22,3
Waterford,2020-03-22,0
Watertown,2020-03-22,0
West Hartford,2020-03-22,1
West Haven,2020-03-22,6
Westbrook,2020-03-22,0
Weston,2020-03-22,3
Westport,2020-03-22,62
Wethersfield,2020-03-22,1
Willington,2020-03-22,0
Wilton,2020-03-22,7
Winchester,2020-03-22,0
Windham,2020-03-22,0
Windsor,2020-03-22,2
Windsor Locks,2020-03-22,2
Wolcott,2020-03-22,0
Woodbridge,2020-03-22,1
Woodbury,2020-03-22,1
Woodstock,2020-03-22,1
Andover,2020-03-23,0
Ansonia,2020-03-23,1
Ashford,2020-03-23,0
Avon,2020-03-23,1
Barkhamsted,2020-03-23,0
Beacon Falls,2020-03-23,1
Berlin,2020-03-23,2
Bethany,2020-03-23,0
Bethel,2020-03-23,5
Bethlehem,2020-03-23,3
Bloomfield,2020-03-23,0
Bolton,2020-03-23,1
Bozrah,2020-03-23,0
Branford,2020-03-23,2
Bridgeport,2020-03-23,9
Bridgewater,2020-03-23,0
Bristol,2020-03-23,0
Brookfield,2020-03-23,8
Brooklyn,2020-03-23,0
Burlington,2020-03-23,1
Canaan,2020-03-23,0
Canterbury,2020-03-23,0
Canton,2020-03-23,0
Chaplin,2020-03-23,0
Cheshire,2020-03-23,0
Chester,2020-03-23,0
Clinton,2020-03-23,1
Colchester,2020-03-23,0
Colebrook,2020-03-23,0
Columbia,2020-03-23,0
Cornwall,2020-03-23,0
Coventry,2020-03-23,0
Cromwell,2020-03-23,1
Danbury,2020-03-23,15
Darien,2020-03-23,11
Deep River,2020-03-23,1
Derby,2020-03-23,0
Durham,2020-03-23,0
East Granby,2020-03-23,0
East Haddam,2020-03-23,0
East Hampton,2020-03-23,1
East Hartford,2020-03-23,1
East Haven,2020-03-23,1
East Lyme,2020-03-23,1
East Windsor,2020-03-23,0
Eastford,2020-03-23,0
Easton,2020-03-23,2
Ellington,2020-03-23,0
Enfield,2020-03-23,1
Essex,2020-03-23,0
Fairfield,2020-03-23,8
Farmington,2020-03-23,3
Franklin,2020-03-23,0
Glastonbury,2020-03-23,5
Goshen,2020-03-23,0
Granby,2020-03-23,0
Greenwich,2020-03-23,31
Griswold,2020-03-23,0
Groton,2020-03-23,0
Guilford,2020-03-23,2
Haddam,2020-03-23,1
Hamden,2020-03-23,1
Hampton,2020-03-23,0
Hartford,2020-03-23,11
Hartland,2020-03-23,0
Harwinton,2020-03-23,1
Hebron,2020-03-23,0
Kent,2020-03-23,0
Killingly,2020-03-23,0
Killingworth,2020-03-23,1
Lebanon,2020-03-23,0
Ledyard,2020-03-23,0
Lisbon,2020-03-23,0
Litchfield,2020-03-23,2
Lyme,2020-03-23,0
Madison,2020-03-23,1
Manchester,2020-03-23,5
Mansfield,2020-03-23,1
Marlborough,2020-03-23,0
Meriden,2020-03-23,2
Middlebury,2020-03-23,0
Middlefield,2020-03-23,0
Middletown,2020-03-23,1
Milford,2020-03-23,3
Monroe,2020-03-23,1
Montville,2020-03-23,1
Morris,2020-03-23,0
Naugatuck,2020-03-23,0
New Britain,2020-03-23,2
New Canaan,2020-03-23,9
New Fairfield,2020-03-23,4
New Hartford,2020-03-23,0
New Haven,2020-03-23,8
New London,2020-03-23,0
New Milford,2020-03-23,2
Newington,2020-03-23,4
Newtown,2020-03-23,1
Norfolk,2020-03-23,0
North Branford,2020-03-23,0
North Canaan,2020-03-23,0
North Haven,2020-03-23,0
North Stonington,2020-03-23,0
Norwalk,2020-03-23,28
Norwich,2020-03-23,1
Old Lyme,2020-03-23,0
Old Saybrook,2020-03-23,0
Orange,2020-03-23,1
Oxford,2020-03-23,2
Plainfield,2020-03-23,0
Plainville,2020-03-23,1
Plymouth,2020-03-23,0
Pomfret,2020-03-23,0
Portland,2020-03-23,1
Preston,2020-03-23,0
Prospect,2020-03-23,0
Putnam,2020-03-23,0
Redding,2020-03-23,1
Ridgefield,2020-03-23,13
Rocky Hill,2020-03-23,8
Roxbury,2020-03-23,0
Salem,2020-03-23,0
Salisbury,2020-03-23,1
Scotland,2020-03-23,0
Seymour,2020-03-23,1
Sharon,2020-03-23,1
Shelton,2020-03-23,1
Sherman,2020-03-23,0
Simsbury,2020-03-23,0
Somers,2020-03-23,0
South Windsor,2020-03-23,2
Southbury,2020-03-23,2
Southington,2020-03-23,3
Sprague,2020-03-23,0
Stafford,2020-03-23,8
Stamford,2020-03-23,30
Sterling,2020-03-23,0
Stonington,2020-03-23,1
Stratford,2020-03-23,3
Suffield,2020-03-23,2
Thomaston,2020-03-23,1
Thompson,2020-03-23,0
Tolland,2020-03-23,5
Torrington,2020-03-23,1
Trumbull,2020-03-23,2
Union,2020-03-23,0
Vernon,2020-03-23,1
Voluntown,2020-03-23,0
Wallingford,2020-03-23,0
Warren,2020-03-23,0
Washington,2020-03-23,0
Waterbury,2020-03-23,5
Waterford,2020-03-23,0
Watertown,2020-03-23,0
West Hartford,2020-03-23,3
West Haven,2020-03-23,6
Westbrook,2020-03-23,0
Weston,2020-03-23,4
Westport,2020-03-23,74
Wethersfield,2020-03-23,1
Willington,2020-03-23,0
Wilton,2020-03-23,10
Winchester,2020-03-23,0
Windham,2020-03-23,0
Windsor,2020-03-23,3
Windsor Locks,2020-03-23,2
Wolcott,2020-03-23,0
Woodbridge,2020-03-23,2
Woodbury,2020-03-23,1
Woodstock,2020-03-23,2
Andover,2020-03-24,0
Ansonia,2020-03-24,1
Ashford,2020-03-24,0
Avon,2020-03-24,2
Barkhamsted,2020-03-24,0
Beacon Falls,2020-03-24,1
Berlin,2020-03-24,2
Bethany,2020-03-24,0
Bethel,2020-03-24,6
Bethlehem,2020-03-24,3
Bloomfield,2020-03-24,1
Bolton,2020-03-24,1
Bozrah,2020-03-24,0
Branford,2020-03-24,5
Bridgeport,2020-03-24,16
Bridgewater,2020-03-24,1
Bristol,2020-03-24,1
Brookfield,2020-03-24,13
Brooklyn,2020-03-24,0
Burlington,2020-03-24,1
Canaan,2020-03-24,0
Canterbury,2020-03-24,0
Canton,2020-03-24,0
Chaplin,2020-03-24,0
Cheshire,2020-03-24,0
Chester,2020-03-24,0
Clinton,2020-03-24,1
Colchester,2020-03-24,0
Colebrook,2020-03-24,0
Columbia,2020-03-24,1
Cornwall,2020-03-24,0
Coventry,2020-03-24,1
Cromwell,2020-03-24,1
Danbury,2020-03-24,29
Darien,2020-03-24,13
Deep River,2020-03-24,1
Derby,2020-03-24,1
Durham,2020-03-24,0
East Granby,2020-03-24,0
East Haddam,2020-03-24,0
East Hampton,2020-03-24,1
East Hartford,2020-03-24,2
East Haven,2020-03-24,3
East Lyme,2020-03-24,1
East Windsor,2020-03-24,0
Eastford,2020-03-24,0
Easton,2020-03-24,2
Ellington,2020-03-24,0
Enfield,2020-03-24,1
Essex,2020-03-24,0
Fairfield,2020-03-24,9
Farmington,2020-03-24,5
Franklin,2020-03-24,0
Glastonbury,2020-03-24,6
Goshen,2020-03-24,0
Granby,2020-03-24,0
Greenwich,2020-03-24,41
Griswold,2020-03-24,0
Groton,2020-03-24,0
Guilford,2020-03-24,2
Haddam,2020-03-24,1
Hamden,2020-03-24,4
Hampton,2020-03-24,0
Hartford,2020-03-24,14
Hartland,2020-03-24,0
Harwinton,2020-03-24,2
Hebron,2020-03-24,0
Kent,2020-03-24,1
Killingly,2020-03-24,0
Killingworth,2020-03-24,1
Lebanon,2020-03-24,0
Ledyard,2020-03-24,0
Lisbon,2020-03-24,0
Litchfield,2020-03-24,2
Lyme,2020-03-24,0
Madison,2020-03-24,3
Manchester,2020-03-24,5
Mansfield,2020-03-24,1
Marlborough,2020-03-24,0
Meriden,2020-03-24,3
Middlebury,2020-03-24,0
Middlefield,2020-03-24,0
Middletown,2020-03-24,1
Milford,2020-03-24,6
Monroe,2020-03-24,2
Montville,2020-03-24,1
Morris,2020-03-24,1
Naugatuck,2020-03-24,2
New Britain,2020-03-24,5
New Canaan,2020-03-24,11
New Fairfield,2020-03-24,7
New Hartford,2020-03-24,0
New Haven,2020-03-24,22
New London,2020-03-24,0
New Milford,2020-03-24,2
Newington,2020-03-24,8
Newtown,2020-03-24,5
Norfolk,2020-03-24,0
North Branford,2020-03-24,0
North Canaan,2020-03-24,0
North Haven,2020-03-24,0
North Stonington,2020-03-24,0
Norwalk,2020-03-24,46
Norwich,2020-03-24,2
Old Lyme,2020-03-24,0
Old Saybrook,2020-03-24,0
Orange,2020-03-24,2
Oxford,2020-03-24,2
Plainfield,2020-03-24,0
Plainville,2020-03-24,1
Plymouth,2020-03-24,1
Pomfret,2020-03-24,0
Portland,2020-03-24,1
Preston,2020-03-24,0
Prospect,2020-03-24,1
Putnam,2020-03-24,0
Redding,2020-03-24,2
Ridgefield,2020-03-24,34
Rocky Hill,2020-03-24,8
Roxbury,2020-03-24,0
Salem,2020-03-24,0
Salisbury,2020-03-24,2
Scotland,2020-03-24,0
Seymour,2020-03-24,2
Sharon,2020-03-24,1
Shelton,2020-03-24,5
Sherman,2020-03-24,1
Simsbury,2020-03-24,0
Somers,2020-03-24,0
South Windsor,2020-03-24,3
Southbury,2020-03-24,4
Southington,2020-03-24,6
Sprague,2020-03-24,0
Stafford,2020-03-24,8
Stamford,2020-03-24,34
Sterling,2020-03-24,0
Stonington,2020-03-24,1
Stratford,2020-03-24,7
Suffield,2020-03-24,2
Thomaston,2020-03-24,1
Thompson,2020-03-24,0
Tolland,2020-03-24,5
Torrington,2020-03-24,2
Trumbull,2020-03-24,3
Union,2020-03-24,0
Vernon,2020-03-24,3
Voluntown,2020-03-24,0
Wallingford,2020-03-24,0
Warren,2020-03-24,0
Washington,2020-03-24,1
Waterbury,2020-03-24,10
Waterford,2020-03-24,0
Watertown,2020-03-24,1
West Hartford,2020-03-24,6
West Haven,2020-03-24,11
Westbrook,2020-03-24,0
Weston,2020-03-24,7
Westport,2020-03-24,79
Wethersfield,2020-03-24,2
Willington,2020-03-24,0
Wilton,2020-03-24,13
Winchester,2020-03-24,0
Windham,2020-03-24,0
Windsor,2020-03-24,4
Windsor Locks,2020-03-24,2
Wolcott,2020-03-24,1
Woodbridge,2020-03-24,3
Woodbury,2020-03-24,1
Woodstock,2020-03-24,2
Andover,2020-03-25,0
Ansonia,2020-03-25,2
Ashford,2020-03-25,0
Avon,2020-03-25,4
Barkhamsted,2020-03-25,0
Beacon Falls,2020-03-25,1
Berlin,2020-03-25,3
Bethany,2020-03-25,0
Bethel,2020-03-25,10
Bethlehem,2020-03-25,3
Bloomfield,2020-03-25,1
Bolton,2020-03-25,2
Bozrah,2020-03-25,0
Branford,2020-03-25,6
Bridgeport,2020-03-25,27
Bridgewater,2020-03-25,1
Bristol,2020-03-25,2
Brookfield,2020-03-25,23
Brooklyn,2020-03-25,0
Burlington,2020-03-25,1
Canaan,2020-03-25,0
Canterbury,2020-03-25,0
Canton,2020-03-25,0
Chaplin,2020-03-25,0
Cheshire,2020-03-25,0
Chester,2020-03-25,0
Clinton,2020-03-25,2
Colchester,2020-03-25,0
Colebrook,2020-03-25,0
Columbia,2020-03-25,1
Cornwall,2020-03-25,0
Coventry,2020-03-25,3
Cromwell,2020-03-25,1
Danbury,2020-03-25,63
Darien,2020-03-25,14
Deep River,2020-03-25,1
Derby,2020-03-25,1
Durham,2020-03-25,0
East Granby,2020-03-25,0
East Haddam,2020-03-25,0
East Hampton,2020-03-25,2
East Hartford,2020-03-25,4
East Haven,2020-03-25,5
East Lyme,2020-03-25,1
East Windsor,2020-03-25,0
Eastford,2020-03-25,0
Easton,2020-03-25,2
Ellington,2020-03-25,0
Enfield,2020-03-25,1
Essex,2020-03-25,0
Fairfield,2020-03-25,13
Farmington,2020-03-25,8
Franklin,2020-03-25,0
Glastonbury,2020-03-25,7
Goshen,2020-03-25,0
Granby,2020-03-25,0
Greenwich,2020-03-25,54
Griswold,2020-03-25,0
Groton,2020-03-25,1
Guilford,2020-03-25,2
Haddam,2020-03-25,1
Hamden,2020-03-25,6
Hampton,2020-03-25,0
Hartford,2020-03-25,20
Hartland,2020-03-25,0
Harwinton,2020-03-25,4
Hebron,2020-03-25,0
Kent,2020-03-25,1
Killingly,2020-03-25,0
Killingworth,2020-03-25,1
Lebanon,2020-03-25,0
Ledyard,2020-03-25,0
Lisbon,2020-03-25,2
Litchfield,2020-03-25,2
Lyme,2020-03-25,0
Madison,2020-03-25,3
Manchester,2020-03-25,6
Mansfield,2020-03-25,1
Marlborough,2020-03-25,0
Meriden,2020-03-25,7
Middlebury,2020-03-25,1
Middlefield,2020-03-25,0
Middletown,2020-03-25,2
Milford,2020-03-25,8
Monroe,2020-03-25,3
Montville,2020-03-25,1
Morris,2020-03-25,1
Naugatuck,2020-03-25,3
New Britain,2020-03-25,6
New Canaan,2020-03-25,15
New Fairfield,2020-03-25,12
New Hartford,2020-03-25,0
New Haven,2020-03-25,29
New London,2020-03-25,0
New Milford,2020-03-25,6
Newington,2020-03-25,9
Newtown,2020-03-25,12
Norfolk,2020-03-25,0
North Branford,2020-03-25,0
North Canaan,2020-03-25,0
North Haven,2020-03-25,0
North Stonington,2020-03-25,0
Norwalk,2020-03-25,66
Norwich,2020-03-25,2
Old Lyme,2020-03-25,1
Old Saybrook,2020-03-25,3
Orange,2020-03-25,3
Oxford,2020-03-25,3
Plainfield,2020-03-25,0
Plainville,2020-03-25,1
Plymouth,2020-03-25,1
Pomfret,2020-03-25,0
Portland,2020-03-25,2
Preston,2020-03-25,0
Prospect,2020-03-25,1
Putnam,2020-03-25,0
Redding,2020-03-25,6
Ridgefield,2020-03-25,41
Rocky Hill,2020-03-25,8
Roxbury,2020-03-25,0
Salem,2020-03-25,0
Salisbury,2020-03-25,3
Scotland,2020-03-25,0
Seymour,2020-03-25,5
Sharon,2020-03-25,1
Shelton,2020-03-25,6
Sherman,2020-03-25,2
Simsbury,2020-03-25,3
Somers,2020-03-25,0
South Windsor,2020-03-25,3
Southbury,2020-03-25,5
Southington,2020-03-25,8
Sprague,2020-03-25,0
Stafford,2020-03-25,11
Stamford,2020-03-25,48
Sterling,2020-03-25,0
Stonington,2020-03-25,1
Stratford,2020-03-25,11
Suffield,2020-03-25,4
Thomaston,2020-03-25,2
Thompson,2020-03-25,0
Tolland,2020-03-25,5
Torrington,2020-03-25,4
Trumbull,2020-03-25,4
Union,2020-03-25,0
Vernon,2020-03-25,4
Voluntown,2020-03-25,0
Wallingford,2020-03-25,2
Warren,2020-03-25,0
Washington,2020-03-25,2
Waterbury,2020-03-25,17
Waterford,2020-03-25,0
Watertown,2020-03-25,1
West Hartford,2020-03-25,6
West Haven,2020-03-25,12
Westbrook,2020-03-25,0
Weston,2020-03-25,10
Westport,2020-03-25,87
Wethersfield,2020-03-25,3
Willington,2020-03-25,0
Wilton,2020-03-25,17
Winchester,2020-03-25,0
Windham,2020-03-25,0
Windsor,2020-03-25,6
Windsor Locks,2020-03-25,2
Wolcott,2020-03-25,2
Woodbridge,2020-03-25,3
Woodbury,2020-03-25,1
Woodstock,2020-03-25,2
Andover,2020-03-26,0
Ansonia,2020-03-26,3
Ashford,2020-03-26,0
Avon,2020-03-26,4
Barkhamsted,2020-03-26,0
Beacon Falls,2020-03-26,1
Berlin,2020-03-26,6
Bethany,2020-03-26,0
Bethel,2020-03-26,10
Bethlehem,2020-03-26,3
Bloomfield,2020-03-26,2
Bolton,2020-03-26,2
Bozrah,2020-03-26,0
Branford,2020-03-26,6
Bridgeport,2020-03-26,32
Bridgewater,2020-03-26,1
Bristol,2020-03-26,2
Brookfield,2020-03-26,24
Brooklyn,2020-03-26,0
Burlington,2020-03-26,1
Canaan,2020-03-26,0
Canterbury,2020-03-26,0
Canton,2020-03-26,0
Chaplin,2020-03-26,0
Cheshire,2020-03-26,3
Chester,2020-03-26,0
Clinton,2020-03-26,4
Colchester,2020-03-26,1
Colebrook,2020-03-26,0
Columbia,2020-03-26,1
Cornwall,2020-03-26,0
Coventry,2020-03-26,3
Cromwell,2020-03-26,1
Danbury,2020-03-26,69
Darien,2020-03-26,14
Deep River,2020-03-26,1
Derby,2020-03-26,2
Durham,2020-03-26,1
East Granby,2020-03-26,1
East Haddam,2020-03-26,0
East Hampton,2020-03-26,1
East Hartford,2020-03-26,4
East Haven,2020-03-26,5
East Lyme,2020-03-26,2
East Windsor,2020-03-26,0
Eastford,2020-03-26,0
Easton,2020-03-26,2
Ellington,2020-03-26,0
Enfield,2020-03-26,6
Essex,2020-03-26,0
Fairfield,2020-03-26,16
Farmington,2020-03-26,8
Franklin,2020-03-26,1
Glastonbury,2020-03-26,8
Goshen,2020-03-26,0
Granby,2020-03-26,0
Greenwich,2020-03-26,57
Griswold,2020-03-26,0
Groton,2020-03-26,1
Guilford,2020-03-26,2
Haddam,2020-03-26,1
Hamden,2020-03-26,7
Hampton,2020-03-26,0
Hartford,2020-03-26,21
Hartland,2020-03-26,0
Harwinton,2020-03-26,4
Hebron,2020-03-26,1
Kent,2020-03-26,1
Killingly,2020-03-26,1
Killingworth,2020-03-26,1
Lebanon,2020-03-26,0
Ledyard,2020-03-26,0
Lisbon,2020-03-26,2
Litchfield,2020-03-26,2
Lyme,2020-03-26,1
Madison,2020-03-26,3
Manchester,2020-03-26,8
Mansfield,2020-03-26,1
Marlborough,2020-03-26,0
Meriden,2020-03-26,8
Middlebury,2020-03-26,1
Middlefield,2020-03-26,0
Middletown,2020-03-26,3
Milford,2020-03-26,8
Monroe,2020-03-26,4
Montville,2020-03-26,1
Morris,2020-03-26,1
Naugatuck,2020-03-26,6
New Britain,2020-03-26,8
New Canaan,2020-03-26,17
New Fairfield,2020-03-26,13
New Hartford,2020-03-26,0
New Haven,2020-03-26,32
New London,2020-03-26,0
New Milford,2020-03-26,6
Newington,2020-03-26,10
Newtown,2020-03-26,14
Norfolk,2020-03-26,1
North Branford,2020-03-26,0
North Canaan,2020-03-26,0
North Haven,2020-03-26,0
North Stonington,2020-03-26,0
Norwalk,2020-03-26,76
Norwich,2020-03-26,2
Old Lyme,2020-03-26,0
Old Saybrook,2020-03-26,3
Orange,2020-03-26,3
Oxford,2020-03-26,5
Plainfield,2020-03-26,0
Plainville,2020-03-26,1
Plymouth,2020-03-26,1
Pomfret,2020-03-26,0
Portland,2020-03-26,2
Preston,2020-03-26,0
Prospect,2020-03-26,1
Putnam,2020-03-26,0
Redding,2020-03-26,7
Ridgefield,2020-03-26,43
Rocky Hill,2020-03-26,9
Roxbury,2020-03-26,0
Salem,2020-03-26,0
Salisbury,2020-03-26,3
Scotland,2020-03-26,0
Seymour,2020-03-26,5
Sharon,2020-03-26,2
Shelton,2020-03-26,13
Sherman,2020-03-26,2
Simsbury,2020-03-26,3
Somers,2020-03-26,0
South Windsor,2020-03-26,4
Southbury,2020-03-26,6
